Name,Itemeffekt,Benutzte Mechanik
"Verzerrte Realität","Alle x2 Modifikatoren werden zu xx2.","Regeländerung, MultMult"
"Fraktale Architektur","Jedes Mal, wenn du einen Raum mit Mult baust, erhält ein zufälliger Raum ebenfalls Mult x1.5.","Mult, Synergie"
"Unendliche Iteration","MultMult-Boni werden verdoppelt.","MultMult, Verstärkung"
"Schrödingers Baustelle","Räume mit negativen Effekten haben eine 50 %-Chance, ihren Effekt umzukehren.","Cursed, Regeländerung"
"Goldene Vermietung","Jeder Raum mit Luxury gibt zusätzlich +1 Mult für Räume über ihm.","Luxury, Mult"
"Hologramm-Gebäude","Räume mit Maisonette verlieren ihre Kosten, wenn sie auf einem Raum mit Maisonette gebaut werden.","Maisonette, Kostenreduktion"
"Turbolader","Jeder Mult x3 oder höher gibt zusätzlich MultMult xx1.2.","Mult, MultMult"
"Realitätsriss","Immer wenn du eine Karte mit MultMult ziehst, erhältst du +1 Draw.","MultMult, Draw"
"Architekten-Gilde","Alle Räume mit Upgrade geben zusätzlich +1 Draw.","Upgrade, Draw"
"Bau des Himmels","Sobald dein Turm eine Höhe von 100 erreicht, wähle eine permanente Regeländerung für den Run.","Meilenstein, Regeländerung"
"Inversionstechnik","Jede Mult x0.5 oder niedriger wird zu Mult x2.","Mult, Regeländerung"
"Schattengesellschaft","Jeder Draw kostet 1 weniger, aber deine Sicht auf gezogene Karten ist begrenzt.","Draw, Kostenreduktion"
"Göttliche Berechnung","Erhalte eine Vorschau auf die nächsten 5 gezogenen Karten.","Draw, Vorschau"
"Doppelschicht-Bauarbeiter","Wenn du zwei Räume in einer Runde baust, verdoppelt sich dein Geldgewinn.","Bauen, Geld"
"Experimental-Teleporter","Du kannst in jeder Runde einen bereits gebauten Raum einmalig umplatzieren.","Positionsänderung"
"Abandoned Lot","Wenn du einen Raum nicht baust, erhältst du +5 Geld.","Geld, Nicht-Bauen"
"Temporal-Architektur","Nach 10 gebauten Räumen kannst du 1 beliebigen Raum um 1 Modifikation verstärken.","Bauen, Modifikationen"
"Kollaps-Simulator","Einmal pro Run: Wähle einen Raum aus, um alle Modifikationen auf ihn zu verdoppeln.","Modifikationen, Regelbruch"
"Kaum haltbare Magie","Sobald dein Turm eine Höhe von 50 erreicht, verwandeln sich alle Maisonette-Modifikatoren in Luxury-Modifikatoren.","Maisonette, Luxury, Regeländerung"
"Einfluss der Zukunft","Jeder Raum mit einem Mult-Effekt beeinflusst auch den nächsthöheren Raum.","Mult, Synergie"
"Bau der Titanen","Sobald du eine gewisse Höhe erreichst, werden alle Mult-Effekte um 20 % verstärkt.","Mult, Meilenstein"
"Schwerelose Bauweise","Jedes Mal, wenn ein Raum mit MultMult gebaut wird, verdoppelt sich sein Point-Wert.","MultMult, Points"
"Chaotische Architektur","Jedes Mal, wenn du einen Raum mit mindestens 3 Modifikationen baust, erhält ein zufälliger Raum +1 Mult.","Modifikationen, Mult"
"Singularitätskern","Erhöhe dein gesamtes MultMult um xx1.2 für jeden 10. Raum.","MultMult, Verstärkung"
"Meister der Upgrades","Räume mit Upgrade erhalten stattdessen +5 Points.","Upgrade, Points"
"Öffentliches Fördergeld","Jeder Raum, der mindestens +5 Points hat, gibt zusätzlich +10 Geld.","Points, Geld"
"Hypermodulare Konstruktion","Wenn du eine Modifikation auf einen Raum anwendest, kannst du sie auf einen zweiten Raum kopieren.","Modifikationen, Synergie"
"Rekursiver Bau","Jeder Mult x3 oder höher erhält zusätzlich MultMult xx1.1.","Mult, MultMult"
"Kompakte Wunder","Räume mit weniger als 3 Modifikationen erhalten automatisch eine zufällige Modifikation.","Modifikationen, Automatisierung"
"Doppelhelix-Turm","Jeder 5. gebaute Raum gibt +1 Draw.","Bauen, Draw"
"Notfallplan","Erhalte einmalig +3 Draws, wenn deine Draws unter 2 fallen.","Draw, Rettungseffekt"
"Göttlicher Eingriff","Wenn dein Turm eine Höhe von 100 erreicht, verdoppeln sich alle aktiven Mults.","Mult, Meilenstein"
"Glücksspiel-Architekt","30 % Chance, dass beim Bau eines Raumes seine Modifikationen zufällig verstärkt werden.","Modifikationen, RNG"
"Paradoxe Struktur","Jeder Raum mit genau 2 Modifikationen erhält eine dritte.","Modifikationen, Verstärkung"
"Goldene Regel","Räume mit mindestens +10 Points geben xx1.1 MultMult.","Points, MultMult"
"Kosmische Harmonie","Wenn du eine Höhe von genau 50 erreichst, werden alle Points verdoppelt.","Points, Meilenstein"
"Midas-Konstruktion","Alle Luxury-Modifikationen geben zusätzlich +3 Geld.","Luxury, Geld"
"Mathematische Perfektion","Jeder Mult-Effekt, der x3 oder höher ist, gibt zusätzlich +2 Points.","Mult, Points"
"Dimensionale Erweiterung","Jeder 20. Raum gibt dir +2 Draws und +10 Geld.","Meilenstein, Draw, Geld"
"Holografischer Bauleiter","Du kannst jede Runde eine Karte für 1 Geld rerollen.","Draw, Reroll"
"Gravitationstrick","Jeder Raum mit MultMult xx3 oder höher beeinflusst alle Räume darunter.","MultMult, Synergie"
"Verlorene Pläne","Einmal pro Spiel kannst du eine bereits benutzte Karte wiederziehen.","Draw, Einmalig"
"Regelbrecher-Modul","Wähle eine Modifikation und entferne ihre normalen Kosten für den Rest des Spiels.","Modifikationen, Regeländerung"
"Unendlicher Geldfluss","Wenn du in einer Runde mehr als 50 Geld verdienst, verdoppelt sich dein gesamtes Geld.","Geld, Verstärkung"
"Doppelter Boden","Jeder Raum mit Mult x2 oder höher gibt +1 Draw.","Mult, Draw"
"Quantenturm","Räume mit genau 4 Modifikationen aktivieren ihre Effekte doppelt.","Modifikationen, Verstärkung"
